Transaction_ID,Items
138,"Samosa, Tea"
139,"Sandwich, Cold Coffee, Muffin"
140,"Ice Cream, Brownie"
141,"Ice Cream, Brownie, Mineral Water"
142,"Samosa, Tea"
143,"Pav Bhaji, Lassi"
144,"Samosa, Tea"
145,"Pizza, Garlic Bread, Pepsi, Salad"
146,"Pav Bhaji, Lassi, Falooda"
147,"Vada Pav, Tea"
148,"Ice Cream, Brownie"
149,"Paneer Tikka, Naan, Coke"
150,"Samosa, Tea"
151,"Hot Dog, Veg Burger, Coke"
152,"Masala Dosa, Filter Coffee"
153,"Burger, Fries, Coke, Pickle"
154,"Paneer Tikka, Naan, Coke"
155,"Hot Dog, Veg Burger, Coke, Chocolate Cake"
156,"Chole Bhature, Lassi"
157,"Momos, Pepsi, Muffin"
158,"Pav Bhaji, Lassi, Falooda"
159,"Hot Dog, Veg Burger, Coke, Lemon Soda"
160,"Chole Bhature, Lassi, Mineral Water"
161,"Sandwich, Cold Coffee"
162,"Noodles, Manchurian, Sprite"
163,"Ice Cream, Brownie, French Fries"
164,"Vada Pav, Tea"
165,"Sandwich, Cold Coffee, Milkshake"
166,"Pizza, Garlic Bread, Pepsi, Sweet Corn"
167,"Pav Bhaji, Lassi"
168,"Coffee, Brownie"
169,"Noodles, Manchurian, Sprite, Lemon Soda"
170,"Sandwich, Cold Coffee, Sweet Corn"
171,"Burger, Fries, Coke"
172,"Ice Cream, Brownie"
173,"Veg Fried Rice, Spring Roll, Sprite"
174,"Biryani, Raita, Gulab Jamun"
175,"Coffee, Brownie"
176,"Vada Pav, Tea"
177,"Pasta, Garlic Bread, Coke"
178,"Paneer Tikka, Naan, Coke, Curd"
179,"Ice Cream, Brownie, Sweet Corn"
180,"Chole Bhature, Lassi"
181,"Masala Dosa, Filter Coffee"
182,"Pasta, Garlic Bread, Coke"
183,"Burger, Fries, Coke, Lemon Soda"
184,"Paneer Tikka, Naan, Coke"
185,"Kachori, Jalebi, Tea"
186,"Idli, Sambar, Filter Coffee"
187,"Veg Fried Rice, Spring Roll, Sprite"
188,"Masala Dosa, Filter Coffee"
189,"Pasta, Garlic Bread, Coke"
190,"Kachori, Jalebi, Tea, Falooda"
191,"Pasta, Garlic Bread, Coke, Lemon Soda"
192,"Samosa, Tea, Falooda"
193,"Momos, Pepsi"
194,"Biryani, Raita, Gulab Jamun"
195,"Rasgulla, Tea, Soup"
196,"Momos, Pepsi"
197,"Samosa, Tea"
198,"Burger, Fries, Coke"
199,"Vada Pav, Tea"
200,"Hot Dog, Veg Burger, Coke, Fruit Salad"
201,"Idli, Sambar, Filter Coffee, Falooda"
202,"Vada Pav, Tea"
203,"Idli, Sambar, Filter Coffee"
204,"Ice Cream, Brownie"
205,"Idli, Sambar, Filter Coffee"
206,"Noodles, Manchurian, Sprite"
207,"Ice Cream, Brownie"
208,"Masala Dosa, Filter Coffee"
209,"Momos, Pepsi"
210,"Hot Dog, Veg Burger, Coke"
211,"Sandwich, Cold Coffee"
212,"Noodles, Manchurian, Sprite"
213,"Hot Dog, Veg Burger, Coke, Mineral Water"
214,"Pasta, Garlic Bread, Coke, Pickle"
215,"Coffee, Brownie"
216,"Biryani, Raita, Gulab Jamun, Falooda"
217,"Chole Bhature, Lassi"
218,"Veg Fried Rice, Spring Roll, Sprite, Sweet Corn"
219,"Coffee, Brownie"
220,"Paneer Tikka, Naan, Coke, Sweet Corn"
221,"Chole Bhature, Lassi"
222,"Rasgulla, Tea"
223,"Burger, Fries, Coke"
224,"Rasgulla, Tea"
225,"Burger, Fries, Coke"
226,"Pasta, Garlic Bread, Coke"
227,"Paneer Tikka, Naan, Coke"
228,"Ice Cream, Brownie"
229,"Hot Dog, Veg Burger, Coke"
230,"Sandwich, Cold Coffee"
231,"Burger, Fries, Coke"
232,"Chole Bhature, Lassi"
233,"Idli, Sambar, Filter Coffee"
234,"Kachori, Jalebi, Tea"
235,"Chole Bhature, Lassi"
236,"Burger, Fries, Coke, Sweet Corn"
237,"Samosa, Tea"
238,"Masala Dosa, Filter Coffee, Soup"
239,"Coffee, Brownie, Pickle"
240,"Coffee, Brownie"
241,"Chole Bhature, Lassi, Sweet Corn"
242,"Sandwich, Cold Coffee"
243,"Momos, Pepsi, Salad"
244,"Pav Bhaji, Lassi, Mineral Water"
245,"Pizza, Garlic Bread, Pepsi"
246,"Hot Dog, Veg Burger, Coke, French Fries"
247,"Kachori, Jalebi, Tea, Pastry"
248,"Momos, Pepsi"
249,"Rasgulla, Tea"
250,"Idli, Sambar, Filter Coffee"
251,"Pav Bhaji, Lassi, Chocolate Cake"
252,"Masala Dosa, Filter Coffee"
253,"Vada Pav, Tea"
254,"Pasta, Garlic Bread, Coke"
255,"Chole Bhature, Lassi"
256,"Veg Fried Rice, Spring Roll, Sprite, Falooda"
257,"Vada Pav, Tea"
258,"Pasta, Garlic Bread, Coke"
259,"Kachori, Jalebi, Tea"
260,"Rasgulla, Tea"
261,"Pav Bhaji, Lassi"
262,"Pav Bhaji, Lassi, Pickle"
263,"Burger, Fries, Coke"
264,"Momos, Pepsi, Papad"
265,"Idli, Sambar, Filter Coffee"
266,"Paneer Tikka, Naan, Coke, Fruit Salad"
267,"Sandwich, Cold Coffee"
268,"Ice Cream, Brownie"
269,"Idli, Sambar, Filter Coffee"
270,"Rasgulla, Tea, Falooda"
271,"Biryani, Raita, Gulab Jamun, Muffin"
272,"Hot Dog, Veg Burger, Coke"
273,"Rasgulla, Tea"
274,"Chole Bhature, Lassi, Donut"
275,"Coffee, Brownie, Lemon Soda"
276,"Pav Bhaji, Lassi"
277,"Coffee, Brownie, Milkshake"
278,"Ice Cream, Brownie, Lemon Soda"
279,"Biryani, Raita, Gulab Jamun, Sweet Corn"
280,"Momos, Pepsi"
281,"Hot Dog, Veg Burger, Coke"
282,"Momos, Pepsi"
283,"Burger, Fries, Coke, Falooda"
284,"Chole Bhature, Lassi"
285,"Pasta, Garlic Bread, Coke"
286,"Pav Bhaji, Lassi"
287,"Noodles, Manchurian, Sprite, Pickle"
288,"Pav Bhaji, Lassi"
289,"Sandwich, Cold Coffee, Falooda"
290,"Vada Pav, Tea"
291,"Coffee, Brownie, Orange Juice"
292,"Veg Fried Rice, Spring Roll, Sprite, Donut"
293,"Sandwich, Cold Coffee"
294,"Noodles, Manchurian, Sprite"
295,"Vada Pav, Tea"
296,"Pasta, Garlic Bread, Coke, Orange Juice"
297,"Pasta, Garlic Bread, Coke, Pastry"
298,"Sandwich, Cold Coffee, Salad"
299,"Ice Cream, Brownie, Pastry"
300,"Momos, Pepsi, French Fries"
301,"Rasgulla, Tea, Donut"
302,"Idli, Sambar, Filter Coffee, Salad"
303,"Sandwich, Cold Coffee"
304,"Momos, Pepsi, Mineral Water"
305,"Chole Bhature, Lassi"
306,"Rasgulla, Tea"
307,"Pizza, Garlic Bread, Pepsi, Curd"
308,"Biryani, Raita, Gulab Jamun"
309,"Vada Pav, Tea"
310,"Paneer Tikka, Naan, Coke"
311,"Kachori, Jalebi, Tea, Fruit Salad"
312,"Chole Bhature, Lassi"
313,"Idli, Sambar, Filter Coffee, Sweet Corn"
314,"Pasta, Garlic Bread, Coke"
315,"Pizza, Garlic Bread, Pepsi"
316,"Vada Pav, Tea"
317,"Veg Fried Rice, Spring Roll, Sprite"
318,"Sandwich, Cold Coffee"
319,"Masala Dosa, Filter Coffee, Mineral Water"
320,"Masala Dosa, Filter Coffee, Muffin"
321,"Kachori, Jalebi, Tea"
322,"Pizza, Garlic Bread, Pepsi, Curd"
323,"Idli, Sambar, Filter Coffee, Falooda"
324,"Sandwich, Cold Coffee"
325,"Rasgulla, Tea"
326,"Veg Fried Rice, Spring Roll, Sprite"
327,"Ice Cream, Brownie, Pastry"
328,"Sandwich, Cold Coffee"
329,"Biryani, Raita, Gulab Jamun, Curd"
330,"Kachori, Jalebi, Tea"
331,"Rasgulla, Tea"
332,"Idli, Sambar, Filter Coffee, Curd"
333,"Chole Bhature, Lassi"
334,"Noodles, Manchurian, Sprite"
335,"Idli, Sambar, Filter Coffee, Salad"
336,"Paneer Tikka, Naan, Coke"
337,"Kachori, Jalebi, Tea, Mineral Water"
338,"Hot Dog, Veg Burger, Coke"
339,"Rasgulla, Tea"
340,"Burger, Fries, Coke"
341,"Sandwich, Cold Coffee"
342,"Masala Dosa, Filter Coffee"
343,"Idli, Sambar, Filter Coffee"
344,"Masala Dosa, Filter Coffee"
345,"Paneer Tikka, Naan, Coke"
346,"Momos, Pepsi"
347,"Momos, Pepsi, Pickle"
348,"Coffee, Brownie"
349,"Masala Dosa, Filter Coffee, Donut"
350,"Pasta, Garlic Bread, Coke"
351,"Chole Bhature, Lassi"
352,"Ice Cream, Brownie, Mineral Water"
353,"Coffee, Brownie, Chocolate Cake"
354,"Chole Bhature, Lassi"
355,"Burger, Fries, Coke"
356,"Ice Cream, Brownie"
357,"Pizza, Garlic Bread, Pepsi, Papad"
358,"Kachori, Jalebi, Tea"
359,"Idli, Sambar, Filter Coffee"
360,"Veg Fried Rice, Spring Roll, Sprite, Pastry"
361,"Pasta, Garlic Bread, Coke"
362,"Momos, Pepsi, Falooda"
363,"Masala Dosa, Filter Coffee, French Fries"
364,"Ice Cream, Brownie"
365,"Hot Dog, Veg Burger, Coke"
366,"Vada Pav, Tea"
367,"Vada Pav, Tea"
368,"Samosa, Tea"
369,"Pasta, Garlic Bread, Coke"
370,"Sandwich, Cold Coffee"
371,"Momos, Pepsi"
372,"Hot Dog, Veg Burger, Coke"
373,"Samosa, Tea"
374,"Kachori, Jalebi, Tea"
375,"Samosa, Tea"
376,"Sandwich, Cold Coffee"
377,"Paneer Tikka, Naan, Coke, Fruit Salad"
378,"Sandwich, Cold Coffee"
379,"Pasta, Garlic Bread, Coke"
380,"Rasgulla, Tea"
381,"Momos, Pepsi"
382,"Idli, Sambar, Filter Coffee"
383,"Pav Bhaji, Lassi, Soup"
384,"Idli, Sambar, Filter Coffee"
385,"Veg Fried Rice, Spring Roll, Sprite"
386,"Hot Dog, Veg Burger, Coke"
387,"Hot Dog, Veg Burger, Coke"
388,"Paneer Tikka, Naan, Coke, Donut"
389,"Chole Bhature, Lassi"
390,"Samosa, Tea"
391,"Pizza, Garlic Bread, Pepsi, Pickle"
392,"Vada Pav, Tea"
393,"Idli, Sambar, Filter Coffee, Muffin"
394,"Burger, Fries, Coke"
395,"Paneer Tikka, Naan, Coke"
396,"Samosa, Tea, Milkshake"
397,"Coffee, Brownie"
398,"Chole Bhature, Lassi"
399,"Coffee, Brownie"
400,"Ice Cream, Brownie"
401,"Coffee, Brownie"
402,"Momos, Pepsi"
403,"Pizza, Garlic Bread, Pepsi"
404,"Hot Dog, Veg Burger, Coke"
405,"Pasta, Garlic Bread, Coke"
406,"Biryani, Raita, Gulab Jamun"
407,"Vada Pav, Tea"
408,"Vada Pav, Tea"
409,"Pasta, Garlic Bread, Coke"
410,"Pizza, Garlic Bread, Pepsi, Salad"
411,"Pasta, Garlic Bread, Coke"
412,"Paneer Tikka, Naan, Coke, Fruit Salad"
413,"Paneer Tikka, Naan, Coke"
414,"Masala Dosa, Filter Coffee, Mineral Water"
415,"Kachori, Jalebi, Tea"
416,"Kachori, Jalebi, Tea"
417,"Momos, Pepsi"
418,"Samosa, Tea, Milkshake"
419,"Idli, Sambar, Filter Coffee, French Fries"
420,"Idli, Sambar, Filter Coffee"
421,"Ice Cream, Brownie, Muffin"
422,"Pav Bhaji, Lassi"
423,"Pasta, Garlic Bread, Coke"
424,"Paneer Tikka, Naan, Coke"
425,"Idli, Sambar, Filter Coffee"
426,"Veg Fried Rice, Spring Roll, Sprite"
427,"Momos, Pepsi, Soup"
428,"Rasgulla, Tea"
429,"Pasta, Garlic Bread, Coke"
430,"Pasta, Garlic Bread, Coke, Soup"
431,"Sandwich, Cold Coffee, Salad"
432,"Kachori, Jalebi, Tea"
433,"Pasta, Garlic Bread, Coke"
434,"Hot Dog, Veg Burger, Coke"
435,"Pav Bhaji, Lassi, Lemon Soda"
436,"Kachori, Jalebi, Tea, Pastry"
437,"Vada Pav, Tea"
438,"Pizza, Garlic Bread, Pepsi, Muffin"
439,"Pizza, Garlic Bread, Pepsi"
440,"Samosa, Tea, Curd"
441,"Coffee, Brownie"
442,"Masala Dosa, Filter Coffee, Papad"
443,"Noodles, Manchurian, Sprite"
444,"Sandwich, Cold Coffee"
445,"Sandwich, Cold Coffee"
446,"Momos, Pepsi"
447,"Pasta, Garlic Bread, Coke"
448,"Coffee, Brownie"
449,"Idli, Sambar, Filter Coffee"
450,"Samosa, Tea"
451,"Hot Dog, Veg Burger, Coke"
452,"Chole Bhature, Lassi"
453,"Ice Cream, Brownie"
454,"Chole Bhature, Lassi, Chocolate Cake"
455,"Idli, Sambar, Filter Coffee"
456,"Sandwich, Cold Coffee"
457,"Pav Bhaji, Lassi, Falooda"
458,"Momos, Pepsi, Pickle"
459,"Kachori, Jalebi, Tea, Mineral Water"
460,"Idli, Sambar, Filter Coffee"
461,"Pasta, Garlic Bread, Coke"
462,"Vada Pav, Tea, Salad"
463,"Pasta, Garlic Bread, Coke"
464,"Vada Pav, Tea, Pastry"
465,"Chole Bhature, Lassi"
466,"Ice Cream, Brownie"
467,"Samosa, Tea"
468,"Vada Pav, Tea"
469,"Kachori, Jalebi, Tea"
470,"Sandwich, Cold Coffee, Papad"
471,"Veg Fried Rice, Spring Roll, Sprite"
472,"Hot Dog, Veg Burger, Coke"
473,"Vada Pav, Tea"
474,"Pav Bhaji, Lassi"
475,"Pav Bhaji, Lassi, Milkshake"
476,"Veg Fried Rice, Spring Roll, Sprite"
477,"Idli, Sambar, Filter Coffee, Lemon Soda"
478,"Kachori, Jalebi, Tea"
479,"Pizza, Garlic Bread, Pepsi"
480,"Hot Dog, Veg Burger, Coke"
481,"Rasgulla, Tea, Lemon Soda"
482,"Rasgulla, Tea, Falooda"
483,"Coffee, Brownie"
484,"Kachori, Jalebi, Tea, Pastry"
485,"Samosa, Tea"
486,"Masala Dosa, Filter Coffee, French Fries"
487,"Samosa, Tea, Falooda"
488,"Rasgulla, Tea, Orange Juice"
489,"Sandwich, Cold Coffee, Sweet Corn"
490,"Noodles, Manchurian, Sprite, Mineral Water"
491,"Momos, Pepsi"
492,"Pav Bhaji, Lassi"
493,"Vada Pav, Tea"
494,"Hot Dog, Veg Burger, Coke"
495,"Pizza, Garlic Bread, Pepsi"
496,"Noodles, Manchurian, Sprite, French Fries"
497,"Pizza, Garlic Bread, Pepsi"
498,"Chole Bhature, Lassi"
499,"Vada Pav, Tea"
500,"Idli, Sambar, Filter Coffee, Mineral Water"
501,"Coffee, Brownie"
502,"Biryani, Raita, Gulab Jamun, Pickle"
503,"Chole Bhature, Lassi"
504,"Noodles, Manchurian, Sprite, Fruit Salad"
505,"Kachori, Jalebi, Tea"
506,"Vada Pav, Tea"
507,"Ice Cream, Brownie"
508,"Veg Fried Rice, Spring Roll, Sprite"
509,"Hot Dog, Veg Burger, Coke"
510,"Idli, Sambar, Filter Coffee"
511,"Vada Pav, Tea, Pickle"
512,"Sandwich, Cold Coffee"
513,"Samosa, Tea"
514,"Momos, Pepsi, Mineral Water"
515,"Biryani, Raita, Gulab Jamun"
516,"Pav Bhaji, Lassi"
517,"Ice Cream, Brownie, Pickle"
518,"Vada Pav, Tea"
519,"Paneer Tikka, Naan, Coke"
520,"Pizza, Garlic Bread, Pepsi"
521,"Kachori, Jalebi, Tea, Chocolate Cake"
522,"Rasgulla, Tea"
523,"Samosa, Tea"
524,"Hot Dog, Veg Burger, Coke"
525,"Pav Bhaji, Lassi"
526,"Pav Bhaji, Lassi, Milkshake"
527,"Rasgulla, Tea, Sweet Corn"
528,"Ice Cream, Brownie"
529,"Kachori, Jalebi, Tea"
530,"Ice Cream, Brownie, Milkshake"
531,"Burger, Fries, Coke, Curd"
532,"Coffee, Brownie"
533,"Masala Dosa, Filter Coffee"
534,"Rasgulla, Tea"
535,"Biryani, Raita, Gulab Jamun, French Fries"
536,"Biryani, Raita, Gulab Jamun"
537,"Veg Fried Rice, Spring Roll, Sprite"
538,"Idli, Sambar, Filter Coffee, Papad"
539,"Pasta, Garlic Bread, Coke"
540,"Rasgulla, Tea"
541,"Pizza, Garlic Bread, Pepsi, Salad"
542,"Biryani, Raita, Gulab Jamun, Sweet Corn"
543,"Momos, Pepsi"
544,"Paneer Tikka, Naan, Coke, Fruit Salad"
545,"Vada Pav, Tea, Chocolate Cake"
546,"Pasta, Garlic Bread, Coke"
547,"Rasgulla, Tea"
548,"Pasta, Garlic Bread, Coke, Soup"
549,"Kachori, Jalebi, Tea, Lemon Soda"
550,"Pasta, Garlic Bread, Coke"
551,"Samosa, Tea"
552,"Pasta, Garlic Bread, Coke, French Fries"
553,"Momos, Pepsi"
554,"Masala Dosa, Filter Coffee, Falooda"
555,"Noodles, Manchurian, Sprite"
556,"Pav Bhaji, Lassi, Salad"
557,"Paneer Tikka, Naan, Coke, Mineral Water"
558,"Coffee, Brownie"
559,"Rasgulla, Tea"
560,"Paneer Tikka, Naan, Coke, Soup"
561,"Burger, Fries, Coke"
562,"Masala Dosa, Filter Coffee"
563,"Kachori, Jalebi, Tea"
564,"Pav Bhaji, Lassi, Chocolate Cake"
565,"Hot Dog, Veg Burger, Coke"
566,"Chole Bhature, Lassi"
567,"Chole Bhature, Lassi"
568,"Coffee, Brownie, Orange Juice"
569,"Biryani, Raita, Gulab Jamun"
570,"Vada Pav, Tea"
571,"Veg Fried Rice, Spring Roll, Sprite"
572,"Pav Bhaji, Lassi"
573,"Samosa, Tea, Pastry"
574,"Sandwich, Cold Coffee, Pastry"
575,"Biryani, Raita, Gulab Jamun, Donut"
576,"Idli, Sambar, Filter Coffee"
577,"Rasgulla, Tea"
578,"Rasgulla, Tea"
579,"Kachori, Jalebi, Tea, Pickle"
580,"Samosa, Tea"
581,"Momos, Pepsi"
582,"Pasta, Garlic Bread, Coke"
583,"Rasgulla, Tea, Fruit Salad"
584,"Biryani, Raita, Gulab Jamun, Muffin"
585,"Pizza, Garlic Bread, Pepsi, Curd"
586,"Biryani, Raita, Gulab Jamun"
587,"Biryani, Raita, Gulab Jamun"
588,"Noodles, Manchurian, Sprite"
589,"Rasgulla, Tea"
590,"Pizza, Garlic Bread, Pepsi"
591,"Rasgulla, Tea"
592,"Coffee, Brownie"
593,"Noodles, Manchurian, Sprite, Salad"
594,"Idli, Sambar, Filter Coffee, Pickle"
595,"Biryani, Raita, Gulab Jamun"
596,"Masala Dosa, Filter Coffee, Muffin"
597,"Idli, Sambar, Filter Coffee"
598,"Kachori, Jalebi, Tea, Papad"
599,"Pasta, Garlic Bread, Coke"
600,"Coffee, Brownie"
601,"Pizza, Garlic Bread, Pepsi"
602,"Coffee, Brownie, Chocolate Cake"
603,"Ice Cream, Brownie"
604,"Pasta, Garlic Bread, Coke, Pastry"
605,"Coffee, Brownie, Pastry"
606,"Pav Bhaji, Lassi, Soup"
607,"Samosa, Tea"
608,"Biryani, Raita, Gulab Jamun, Soup"
609,"Coffee, Brownie"
610,"Noodles, Manchurian, Sprite, Sweet Corn"
611,"Noodles, Manchurian, Sprite"
612,"Pav Bhaji, Lassi, Lemon Soda"
613,"Coffee, Brownie"
614,"Momos, Pepsi, Pastry"
615,"Samosa, Tea, Chocolate Cake"
616,"Noodles, Manchurian, Sprite"
617,"Noodles, Manchurian, Sprite, Pickle"
618,"Kachori, Jalebi, Tea, Soup"
619,"Samosa, Tea, Orange Juice"
620,"Idli, Sambar, Filter Coffee, Papad"
621,"Hot Dog, Veg Burger, Coke"
622,"Kachori, Jalebi, Tea, Muffin"
623,"Hot Dog, Veg Burger, Coke"
624,"Pasta, Garlic Bread, Coke"
625,"Momos, Pepsi"
626,"Veg Fried Rice, Spring Roll, Sprite"
627,"Rasgulla, Tea"
628,"Idli, Sambar, Filter Coffee"
629,"Chole Bhature, Lassi"
630,"Paneer Tikka, Naan, Coke"
631,"Veg Fried Rice, Spring Roll, Sprite"
632,"Samosa, Tea"
633,"Pizza, Garlic Bread, Pepsi"
634,"Pav Bhaji, Lassi"
635,"Vada Pav, Tea"
636,"Noodles, Manchurian, Sprite"
637,"Pasta, Garlic Bread, Coke, Orange Juice"
638,"Sandwich, Cold Coffee"
639,"Noodles, Manchurian, Sprite, Sweet Corn"
640,"Biryani, Raita, Gulab Jamun"
641,"Hot Dog, Veg Burger, Coke"
642,"Pav Bhaji, Lassi"
643,"Paneer Tikka, Naan, Coke, Fruit Salad"
644,"Pav Bhaji, Lassi, Mineral Water"
645,"Pav Bhaji, Lassi, Pickle"
646,"Vada Pav, Tea"
647,"Coffee, Brownie"
648,"Samosa, Tea, Donut"
649,"Samosa, Tea"
650,"Momos, Pepsi"
651,"Burger, Fries, Coke"
652,"Burger, Fries, Coke, Pastry"
653,"Ice Cream, Brownie"
654,"Kachori, Jalebi, Tea"
655,"Vada Pav, Tea"
656,"Hot Dog, Veg Burger, Coke, Salad"
657,"Hot Dog, Veg Burger, Coke"
658,"Kachori, Jalebi, Tea"
659,"Vada Pav, Tea"
660,"Momos, Pepsi"
661,"Burger, Fries, Coke"
662,"Rasgulla, Tea, Pastry"
663,"Pasta, Garlic Bread, Coke"
664,"Kachori, Jalebi, Tea"
665,"Rasgulla, Tea"
666,"Biryani, Raita, Gulab Jamun"
667,"Pav Bhaji, Lassi, Fruit Salad"
668,"Ice Cream, Brownie"
669,"Noodles, Manchurian, Sprite"
670,"Chole Bhature, Lassi"
671,"Pizza, Garlic Bread, Pepsi"
672,"Pav Bhaji, Lassi, French Fries"
673,"Pav Bhaji, Lassi"
674,"Pav Bhaji, Lassi, Chocolate Cake"
675,"Rasgulla, Tea"
676,"Coffee, Brownie, Papad"
677,"Ice Cream, Brownie, Orange Juice"
678,"Idli, Sambar, Filter Coffee"
679,"Momos, Pepsi"
680,"Samosa, Tea, Muffin"
681,"Pizza, Garlic Bread, Pepsi, Salad"
682,"Veg Fried Rice, Spring Roll, Sprite"
683,"Coffee, Brownie"
684,"Noodles, Manchurian, Sprite"
685,"Ice Cream, Brownie"
